NotAttempted,WrongAnswer,CorrectAnswer
23,60,17
5,75,20
34,49,17
0,74,26
0,70,30
5,63,32
0,77,23
2,67,31
0,65,35
2,72,26
0,75,25
0,70,30
0,71,29
0,77,23
0,76,24
0,72,28
3,72,25
0,73,27
1,71,28
29,53,18
0,75,25
35,47,18
0,73,27
0,71,29
0,77,23
0,67,33
4,73,23
0,67,33
0,71,29
0,68,32
0,73,27
1,73,26
0,69,31
59,27,14
2,74,24
2,73,25
0,70,30
23,63,14
1,76,23
0,73,27
21,58,21
0,73,27
1,70,29
11,66,23
20,56,24
0,77,23
0,66,34
0,67,33
1,77,22
2,68,30
0,77,23
0,74,26
0,80,20
0,79,21
0,69,31
0,67,33
0,70,30
0,75,25
0,66,34
0,70,30
0,76,24
0,69,31
0,75,25
0,81,19
0,70,30
3,68,29
0,75,25
1,67,32
2,74,24
0,77,23
0,73,27
0,67,33
3,67,30
0,75,25
0,70,30
0,73,27
0,78,22
0,74,26
1,74,25
0,77,23
0,71,29
22,53,25
0,74,26
0,79,21
4,64,32
0,74,26
0,72,28
0,64,36
1,79,20
0,75,25
0,70,30
1,69,30
2,73,25
23,60,17
5,75,20
34,49,17
0,74,26
0,70,30
5,63,32
0,77,23
2,67,31
0,65,35
2,72,26
0,75,25
0,70,30
0,71,29
0,77,23
0,76,24
0,72,28
3,72,25
0,73,27
1,71,28
29,53,18
0,75,25
35,47,18
0,73,27
0,71,29
0,77,23
0,67,33
4,73,23
0,67,33
0,71,29
0,68,32
0,73,27
1,73,26
0,69,31
59,27,14
2,74,24
2,73,25
0,70,30
23,63,14
1,76,23
0,73,27
21,58,21
0,73,27
1,70,29
11,66,23
20,56,24
0,77,23
0,66,34
0,67,33
1,77,22
2,68,30
0,77,23
0,74,26
0,80,20
0,79,21
0,69,31
0,67,33
0,70,30
0,75,25
0,66,34
0,70,30
0,76,24
0,69,31
0,75,25
0,81,19
0,70,30
3,68,29
0,75,25
1,67,32
2,74,24
0,77,23
0,73,27
0,67,33
3,67,30
0,75,25
0,70,30
0,73,27
0,78,22
0,74,26
1,74,25
0,77,23
0,71,29
22,53,25
0,74,26
0,79,21
4,64,32
0,74,26
0,72,28
0,64,36
1,79,20
0,75,25
0,70,30
1,69,30
2,73,25
23,60,17
5,75,20
34,49,17
0,74,26
0,70,30
5,63,32
0,77,23
2,67,31
0,65,35
2,72,26
0,75,25
0,70,30
0,71,29
0,77,23
0,76,24
0,72,28
3,72,25
0,73,27
1,71,28
29,53,18
0,75,25
35,47,18
0,73,27
0,71,29
0,77,23
0,67,33
4,73,23
0,67,33
0,71,29
0,68,32
0,73,27
1,73,26
0,69,31
59,27,14
2,74,24
2,73,25
0,70,30
23,63,14
1,76,23
0,73,27
21,58,21
0,73,27
1,70,29
11,66,23
20,56,24
0,77,23
0,66,34
0,67,33
1,77,22
2,68,30
0,77,23
0,74,26
0,80,20
0,79,21
0,69,31
0,67,33
0,70,30
0,75,25
0,66,34
0,70,30
0,76,24
0,69,31
0,75,25
0,81,19
0,70,30
3,68,29
0,75,25
1,67,32
2,74,24
0,77,23
0,73,27
0,67,33
3,67,30
0,75,25
0,70,30
0,73,27
0,78,22
0,74,26
1,74,25
0,77,23
0,71,29
22,53,25
0,74,26
0,79,21
4,64,32
0,74,26
0,72,28
0,64,36
1,79,20
0,75,25
0,70,30
1,69,30
2,73,25
23,60,17
5,75,20
34,49,17
0,74,26
0,70,30
5,63,32
0,77,23
2,67,31
0,65,35
2,72,26
0,75,25
0,70,30
0,71,29
0,77,23
0,76,24
0,72,28
3,72,25
0,73,27
1,71,28
29,53,18
0,75,25
35,47,18
0,73,27
0,71,29
0,77,23
0,67,33
4,73,23
0,67,33
0,71,29
0,68,32
0,73,27
1,73,26
0,69,31
59,27,14
2,74,24
2,73,25
0,70,30
